 index freq
0 <START> 100000000
1 <PAD> 100000000
2 <END> 100000000
3 <UNK> 100000000
4 <COMMA> 1254305
5 的 795094
6 技师说 584471
7 车主说 549236
8 <EOS> 455648
9 了 353282
10 是 338755
11 <Q_MARK> 217200
12 有 184226
13 这个 147587
14 就 146442
15 问题 142589
16 可以 131017
17 吗 129793
18 不 122994
19 没有 115218
20 在 102905
21 好 92669
22 也 90135
23 都 87022
24 需要 80836
25 一下 78916
26 检查 77071
27 什么 74663
28 换 73082
29 发动机 71450
30 就是 69732
31 更换 69114
32 会 67796
33 正常 60284
34 车 60193
35 和 59123
36 如果 58307
37 情况 56651
38 用 56035
39 没 53286
40 故障 52619
41 说 51354
42 那 49913
43 还是 48601
44 机油 47881
45 去 45543
46 您 44018
47 看 44009
48 要 43446
49 对 42285
50 到 41895
51 把 40784
52 一个 39715
53 的话 39451
54 这种 39061
55 现在 38738
56 时候 37669
57 建议 37141
58 不会 36459
59 电脑 36458
60 可能 35984
61 声音 35359
62 这 34948
63 应该 34229
64 过 34070
65 清洗 33913
66 下 33663
67 怎么 33602
68 有没有 33524
69 变速箱 33482
70 还有 33272
71 上 32965
72 出现 32849
73 检查一下 32836
74 能 32168
75 是否 31595
76 后 31532
77 是不是 30271
78 或者 29997
79 呢 29742
80 多少 28815
81 影响 28675
82 一般 28308
83 故障码 28021
84 不是 27902
85 节气门 27853
86 4s店 27849
87 启动 27654
88 大 27637
89 车子 27105
90 还 27019
91 看看 26901
92 那个 26440
93 跑 26115
94 这样 25532
95 给 25380
96 公里 25207
97 左右 24950
98 很 24637
99 油 24256
100 做 24211
101 车辆 24110
102 然后 24087
103 火花塞 23478
104 师傅 22965
105 请问 22828
106 开 22694
107 再 22679
108 原因 21813
109 年 21199
110 但是 21132
111 维修 20989
112 保养 20793
113 一样 20758
114 比较 20535
115 感觉 20512
116 行驶 20263
117 知道 20243
118 线路 20027
119 才 19843
120 里面 19626
121 导致 19465
122 先 19260
123 位置 19023
124 时 18965
125 轮胎 18814
126 款 18804
127 又 18416
128 不好 18314
129 拆 17947
130 坏 17922
131 他 17696
132 多 17288
133 修理厂 17078
134 使用 16975
135 不能 16956
136 电瓶 16578
137 传感器 16216
138 根据 16205
139 大师 16147
140 新 15843
141 怠速 15660
142 造成 15598
143 抖动 15419
144 地方 15267
145 检测 15208
146 钱 15203
147 钥匙 15029
148 着 14829
149 个 14764
150 刹车 14635
151 进行 14312
152 压力 14188
153 灯 13937
154 两个 13623
155 加 13442
156 显示 13430
157 不行 13425
158 万公里 13421
159 熄火 13379
160 大概 13337
161 以后 13331
162 高 13297
163 直接 13207
164 插头 13165
165 出来 13039
166 上面 13027
167 工作 13008
168 解决 12931
169 买 12926
170 这是 12814
171 匹配 12765
172 空调 12622
173 打开 12616
174 喷油嘴 12455
175 档 12449
176 一点 12430
177 自己 12425
178 现象 12390
179 跟 12315
180 想 12181
181 找 12180
182 试试 12161
183 因为 12138
184 关系 12101
185 控制 12058
186 2 12020
187 哪里 11956
188 等 11919
189 开关 11877
190 得 11864
191 汽油 11848
192 一直 11836
193 其他 11805
194 处理 11624
195 加油 11425
196 肯定 11360
197 线 11346
198 让 11345
199 起来 11231
200 主要 11145
201 之前 11061
202 转 11000
203 汽车 10977
204 踩 10976
205 从 10968
206 一次 10894
207 不用 10885
208 异响 10864
209 有点 10805
210 来 10799
211 1 10738
212 挂 10621
213 缸 10603
214 具体 10438
215 损坏 10407
216 响 10385
217 么 10364
218 方向盘 10317
219 时间 10215
220 怎么回事 10170
221 之后 10167
222 不了 10085
223 问 10062
224 他们 9990
225 只有 9983
226 东西 9980
227 亮 9975
228 油耗 9945
229 所以 9943
230 3 9883
231 最好 9833
232 没事 9811
233 螺丝 9752
234 4s 9734
235 价格 9717
236 积碳 9697
237 系统 9616
238 原厂 9550
239 只能 9429
240 打 9304
241 安装 9194
242 自动 9177
243 4 9134
244 重新 9056
245 转速 9021
246 确定 9009
247 点 8951
248 方向 8926
249 今天 8910
250 模块 8892
251 防冻液 8866
252 只要 8837
253 数据 8826
254 描述 8723
255 信号 8695
256 为 8647
257 咨询 8632
258 但 8557
259 高速 8533
260 它 8531
261 仪表 8451
262 拆下来 8438
263 已经 8435
264 我们 8406
265 保险 8349
266 发现 8337
267 后面 8330
268 以前 8221
269 修 8212
270 出 8135
271 下面 8116
272 底盘 8106
273 动力 8085
274 新车 8075
275 小 8057
276 店 8023
277 解答 7988
278 冷车 7911
279 那么 7890
280 测量 7813
281 5 7805
282 中 7797
283 离合器 7792
284 按 7789
285 呀 7735
286 不要 7729
287 门 7690
288 磨损 7676
289 温度 7655
290 哪个 7578
291 明显 7545
292 外面 7491
293 或 7461
294 这款 7429
295 刹车片 7424
296 意思 7404
297 明天 7401
298 水温 7381
299 点火线圈 7355
300 只是 7280
301 读取 7238
302 油门 7236
303 不到 7181
304 气门 7163
305 继电器 7126
306 这些 7053
307 电压 6908
308 内部 6858
309 风扇 6853
310 而且 6836
311 容易 6836
312 水箱 6776
313 严重 6757
314 好像 6726
315 质量 6724
316 漏气 6690
317 走 6677
318 关注 6660
319 烧 6634
320 电机 6611
321 导航 6574
322 10 6562
323 保险丝 6548
324 皮带 6527
325 间隙 6519
326 配件 6506
327 里 6501
328 油泵 6485
329 与 6480
330 漏油 6376
331 引起 6373
332 像 6368
333 氧传感器 6341
334 电 6280
335 前 6274
336 大灯 6231
337 t 6223
338 点火 6209
339 反应 6198
340 车身 6196
341 麻烦 6179
342 加速 6173
343 才能 6142
344 特别 6131
345 哪 6098
346 低 6085
347 月 6084
348 首先 6051
349 内 6044
350 电磁阀 6027
351 太 6001
352 完 5983
353 离合 5948
354 热车 5930
355 听 5895
356 原车 5841
357 合成 5838
358 分析 5828
359 办法 5823
360 一定 5822
361 车门 5808
362 电子 5801
363 燃油 5783
364 起步 5751
365 abs 5738
366 别的 5701
367 为什么 5698
368 费用 5653
369 手动 5650
370 帮 5648
371 修复 5644
372 6 5623
373 本身 5618
374 请 5616
375 装 5561
376 挡 5534
377 被 5453
378 玻璃 5441
379 正时 5433
380 很多 5413
381 车型 5398
382 有时候 5397
383 必要 5364
384 前面 5358
385 查 5341
386 发出 5326
387 调 5319
388 车主 5319
389 三元催化 5297
390 重点 5293
391 存在 5255
392 加装 5249
393 说明 5238
394 比 5218
395 报 5207
396 空气 5185
397 突然 5182
398 刚 5124
399 喷漆 5123
400 开始 5118
401 号 5110
402 12 5089
403 希望 5049
404 助力 5006
405 属于 5001
406 看到 5001
407 数据流 4993
408 无法 4976
409 凸轮轴 4976
410 最近 4962
411 专用 4958
412 正 4956
413 必须 4941
414 功能 4940
415 档位 4937
416 变速器 4935
417 调整 4926
418 压 4900
419 排气管 4875
420 回答 4844
421 另外 4821
422 型号 4816
423 变形 4782
424 下来 4768
425 连接 4768
426 通过 4753
427 元 4749
428 考虑 4744
429 这么 4725
430 啥 4721
431 灯亮 4710
432 客气 4707
433 进气 4688
434 全 4685
435 一些 4673
436 响声 4670
437 一会 4661
438 轴承 4637
439 弄 4626
440 方面 4621
441 几天 4595
442 那里 4595
443 效果 4584
444 节温器 4583
445 放 4571
446 减震器 4568
447 有时 4558
448 刹车油 4544
449 调节 4533
450 发电机 4521
451 驾驶 4510
452 抖 4510
453 啦 4501
454 关闭 4500
455 人 4482
456 判断 4480
457 报警 4472
458 注意 4443
459 怎么办 4441
460 提示 4431
461 四轮定位 4391
462 堵塞 4391
463 放心 4364
464 仪表盘 4350
465 几个 4338
466 速度 4336
467 只 4320
468 估计 4318
469 升 4311
470 火 4309
471 打火 4295
472 代码 4281
473 版 4278
474 修车 4233
475 掉 4226
476 电脑板 4224
477 打不着 4197
478 压缩机 4186
479 早上 4185
480 总成 4181
481 诊断 4159
482 最 4149
483 方法 4148
484 开车 4143
485 质保 4139
486 点击 4139
487 40 4135
488 就行了 4128
489 不亮 4124
490 转向 4123
491 减震 4120
492 要是 4110
493 大众 4103
494 停车 4087
495 打着 4084
496 觉得 4074
497 目前 4072
498 同时 4060
499 怎么样 4037
500 30 4029
501 15 4025
502 网上 4018
503 很大 4015
504 懂 4015
505 固定 3989
506 到底 3988
507 噪音 3988
508 洗 3978
509 品牌 3976
510 发动 3975
511 任何 3952
512 踩油门 3948
513 那种 3941
514 头像 3930
515 嘛 3927
516 购买 3923
517 前轮 3912
518 单独 3911
519 试一下 3906
520 找到 3904
521 以及 3896
522 方向机 3892
523 大修 3892
524 排除 3872
525 曲轴 3861
526 长 3852
527 不足 3852
528 高兴 3850
529 毛病 3835
530 明白 3829
531 测试 3826
532 防盗 3825
533 马达 3823
534 复位 3820
535 快 3819
536 行 3805
537 解码器 3777
538 选择 3765
539 胎压 3763
540 轻微 3761
541 有个 3749
542 倒 3748
543 一起 3742
544 带 3729
545 设置 3728
546 拿 3725
547 状态 3713
548 进去 3703
549 水 3695
550 1.6 3689
551 清楚 3674
552 如何 3653
553 建议您 3643
554 水温传感器 3635
555 灯泡 3630
556 不过 3618
557 差不多 3598
558 行车 3595
559 13 3583
560 相关 3578
561 倒车 3573
562 以上 3567
563 自动挡 3566
564 这里 3563
565 循环 3563
566 该 3553
567 滤芯 3547
568 左 3529
569 顿挫 3528
570 原来 3527
571 全部 3526
572 干净 3499
573 积炭 3483
574 暖风 3478
575 专业 3467
576 胶套 3465
577 免费 3455
578 昨天 3449
579 2.0 3445
580 排气 3435
581 不好意思 3431
582 由于 3424
583 异常 3420
584 贵 3413
585 中间 3397
586 11 3395
587 帮助 3394
588 拆开 3391
589 手刹 3387
590 插 3386
591 叫 3380
592 发 3375
593 改装 3368
594 随时 3360
595 基本 3354
596 油路 3347
597 换挡 3345
598 更 3325
599 接 3316
600 漏 3304
601 进 3303
602 可能性 3299
603 奥迪 3298
604 拔 3295
605 定位 3294
606 松动 3292
607 操作 3286
608 度 3280
609 锁 3277
610 d 3268
611 链条 3266
612 宝马 3264
613 清除 3247
614 厉害 3246
615 电源 3235
616 老化 3233
617 感谢 3232
618 电池 3231
619 一年 3230
620 支持 3220
621 2000 3205
622 100 3200
623 码 3194
624 万 3183
625 怎样 3183
626 动 3178
627 8 3173
628 燃烧 3163
629 老师 3162
630 将 3159
631 修理店 3156
632 试 3150
633 照片 3145
634 7 3135
635 修理 3134
636 朋友 3123
637 油压 3121
638 每次 3118
639 少 3105
640 偏 3098
641 一根 3092
642 小时 3077
643 四个 3075
644 能够 3069
645 一段时间 3068
646 水泵 3064
647 刚才 3062
648 就要 3055
649 右 3052
650 部位 3039
651 厂家 3035
652 动平衡 3032
653 后备箱 3030
654 完全 3025
655 多久 3004
656 升级 2995
657 并 2995
658 向 2992
659 低速 2986
660 20 2983
661 偶尔 2979
662 这车 2976
663 停 2969
664 继续 2967
665 当时 2961
666 过程 2948
667 三个 2947
668 部件 2933
669 遥控器 2930
670 量 2930
671 14 2928
672 缸盖 2925
673 拍 2924
674 观察 2917
675 断 2916
676 不同 2915
677 油箱 2912
678 后轮 2897
679 喷 2896
680 数 2890
681 换个 2883
682 听到 2882
683 图 2877
684 改 2868
685 技师 2866
686 不够 2861
687 之间 2851
688 车速 2844
689 没什么 2839
690 担心 2833
691 喷油 2832
692 进入 2828
693 泵 2825
694 经常 2824
695 刚刚 2822
696 测 2815
697 喇叭 2815
698 主 2811
699 超过 2808
700 拆掉 2807
701 机 2802
702 清理 2797
703 推荐 2776
704 拉 2769
705 遥控 2759
706 16 2758
707 产生 2743
708 后来 2737
709 及时 2735
710 p 2724
711 断电 2718
712 轮毂 2712
713 确认 2710
714 s 2710
715 变化 2709
716 学习 2708
717 要求 2700
718 刹车盘 2700
719 颜色 2697
720 无 2694
721 这边 2692
722 气囊 2683
723 试车 2682
724 排量 2677
725 电路 2655
726 1.8 2645
727 不错 2642
728 车上 2638
729 不响 2635
730 线束 2630
731 解决问题 2623
732 牌子 2622
733 怀疑 2619
734 非常 2618
735 遇到 2592
736 读 2591
737 上次 2590
738 大约 2584
739 1.5 2584
740 提速 2579
741 手动挡 2579
742 右边 2576
743 添加 2570
744 松 2570
745 哒 2569
746 求 2569
747 可是 2564
748 声 2562
749 平时 2560
750 半 2560
